Rule,Support,Confidence
# → %,10000,1.0
# → &,10000,1.0
# → ),10000,1.0
% → &,10000,1.0
% → ),10000,1.0
& → ),10000,1.0
( → ),9949,1.0
# % → &,10000,1.0
# → % &,10000,1.0
# % → ),10000,1.0
# → % ),10000,1.0
# & → ),10000,1.0
# → & ),10000,1.0
# ( → ),9949,1.0
% & → ),10000,1.0
% → & ),10000,1.0
% ( → ),9949,1.0
& ( → ),9949,1.0
# % & → ),10000,1.0
# % → & ),10000,1.0
# → % & ),10000,1.0
# % ( → ),9949,1.0
# & ( → ),9949,1.0
% & ( → ),9949,1.0
# % & ( → ),9949,1.0
# → (,9949,0.9949
% → (,9949,0.9949
& → (,9949,0.9949
# % → (,9949,0.9949
# → % (,9949,0.9949
# & → (,9949,0.9949
# → & (,9949,0.9949
# → ( ),9949,0.9949
% & → (,9949,0.9949
% → & (,9949,0.9949
% → ( ),9949,0.9949
& → ( ),9949,0.9949
# % & → (,9949,0.9949
# % → & (,9949,0.9949
# → % & (,9949,0.9949
# % → ( ),9949,0.9949
# → % ( ),9949,0.9949
# & → ( ),9949,0.9949
# → & ( ),9949,0.9949
% & → ( ),9949,0.9949
% → & ( ),9949,0.9949
# % & → ( ),9949,0.9949
# % → & ( ),9949,0.9949
# → % & ( ),9949,0.9949
