Pattern,Support
(,9949
# → (,9949
% → (,9949
& → (,9949
( → ),9949
# → % → (,9949
# → & → (,9949
# → ( → ),9949
% → & → (,9949
% → ( → ),9949
& → ( → ),9949
# → % → & → (,9949
# → % → ( → ),9949
# → & → ( → ),9949
% → & → ( → ),9949
# → % → & → ( → ),9949
<,8961
# → <,8961
% → <,8961
& → <,8961
) → <,8961
# → % → <,8961
# → & → <,8961
# → ) → <,8961
% → & → <,8961
% → ) → <,8961
& → ) → <,8961
# → % → & → <,8961
# → % → ) → <,8961
# → & → ) → <,8961
% → & → ) → <,8961
# → % → & → ) → <,8961
( → <,8910
# → ( → <,8910
% → ( → <,8910
& → ( → <,8910
( → ) → <,8910
# → % → ( → <,8910
# → & → ( → <,8910
# → ( → ) → <,8910
% → & → ( → <,8910
% → ( → ) → <,8910
& → ( → ) → <,8910
# → % → & → ( → <,8910
# → % → ( → ) → <,8910
# → & → ( → ) → <,8910
% → & → ( → ) → <,8910
# → % → & → ( → ) → <,8910
9,8107
# → 9,8107
% → 9,8107
& → 9,8107
) → 9,8107
# → % → 9,8107
# → & → 9,8107
# → ) → 9,8107
% → & → 9,8107
% → ) → 9,8107
& → ) → 9,8107
# → % → & → 9,8107
# → % → ) → 9,8107
# → & → ) → 9,8107
% → & → ) → 9,8107
# → % → & → ) → 9,8107
( → 9,8056
# → ( → 9,8056
% → ( → 9,8056
& → ( → 9,8056
( → ) → 9,8056
# → % → ( → 9,8056
# → & → ( → 9,8056
# → ( → ) → 9,8056
% → & → ( → 9,8056
% → ( → ) → 9,8056
& → ( → ) → 9,8056
# → % → & → ( → 9,8056
# → % → ( → ) → 9,8056
# → & → ( → ) → 9,8056
% → & → ( → ) → 9,8056
# → % → & → ( → ) → 9,8056
9 → <,7119
# → 9 → <,7119
% → 9 → <,7119
& → 9 → <,7119
) → 9 → <,7119
# → % → 9 → <,7119
# → & → 9 → <,7119
# → ) → 9 → <,7119
% → & → 9 → <,7119
% → ) → 9 → <,7119
& → ) → 9 → <,7119
# → % → & → 9 → <,7119
# → % → ) → 9 → <,7119
# → & → ) → 9 → <,7119
% → & → ) → 9 → <,7119
# → % → & → ) → 9 → <,7119
( → 9 → <,7068
# → ( → 9 → <,7068
% → ( → 9 → <,7068
& → ( → 9 → <,7068
( → ) → 9 → <,7068
# → % → ( → 9 → <,7068
# → & → ( → 9 → <,7068
# → ( → ) → 9 → <,7068
% → & → ( → 9 → <,7068
% → ( → ) → 9 → <,7068
& → ( → ) → 9 → <,7068
# → % → & → ( → 9 → <,7068
# → % → ( → ) → 9 → <,7068
# → & → ( → ) → 9 → <,7068
% → & → ( → ) → 9 → <,7068
# → % → & → ( → ) → 9 → <,7068
1,6417
# → 1,6417
% → 1,6417
& → 1,6417
) → 1,6417
# → % → 1,6417
# → & → 1,6417
# → ) → 1,6417
% → & → 1,6417
% → ) → 1,6417
& → ) → 1,6417
# → % → & → 1,6417
# → % → ) → 1,6417
# → & → ) → 1,6417
% → & → ) → 1,6417
# → % → & → ) → 1,6417
( → 1,6407
# → ( → 1,6407
% → ( → 1,6407
& → ( → 1,6407
( → ) → 1,6407
# → % → ( → 1,6407
# → & → ( → 1,6407
# → ( → ) → 1,6407
% → & → ( → 1,6407
% → ( → ) → 1,6407
& → ( → ) → 1,6407
# → % → & → ( → 1,6407
# → % → ( → ) → 1,6407
# → & → ( → ) → 1,6407
% → & → ( → ) → 1,6407
# → % → & → ( → ) → 1,6407
2,6290
# → 2,6290
% → 2,6290
& → 2,6290
) → 2,6290
# → % → 2,6290
# → & → 2,6290
# → ) → 2,6290
% → & → 2,6290
% → ) → 2,6290
& → ) → 2,6290
# → % → & → 2,6290
# → % → ) → 2,6290
# → & → ) → 2,6290
% → & → ) → 2,6290
# → % → & → ) → 2,6290
( → 2,6239
# → ( → 2,6239
% → ( → 2,6239
& → ( → 2,6239
( → ) → 2,6239
# → % → ( → 2,6239
# → & → ( → 2,6239
# → ( → ) → 2,6239
% → & → ( → 2,6239
% → ( → ) → 2,6239
& → ( → ) → 2,6239
# → % → & → ( → 2,6239
# → % → ( → ) → 2,6239
# → & → ( → ) → 2,6239
% → & → ( → ) → 2,6239
# → % → & → ( → ) → 2,6239
/,6136
# → /,6136
% → /,6136
& → /,6136
) → /,6136
# → % → /,6136
# → & → /,6136
# → ) → /,6136
% → & → /,6136
% → ) → /,6136
& → ) → /,6136
# → % → & → /,6136
# → % → ) → /,6136
# → & → ) → /,6136
% → & → ) → /,6136
# → % → & → ) → /,6136
( → /,6126
# → ( → /,6126
% → ( → /,6126
& → ( → /,6126
( → ) → /,6126
# → % → ( → /,6126
# → & → ( → /,6126
# → ( → ) → /,6126
% → & → ( → /,6126
% → ( → ) → /,6126
& → ( → ) → /,6126
# → % → & → ( → /,6126
# → % → ( → ) → /,6126
# → & → ( → ) → /,6126
% → & → ( → ) → /,6126
# → % → & → ( → ) → /,6126
#,10000
%,10000
&,10000
),10000
# → %,10000
# → &,10000
# → ),10000
% → &,10000
% → ),10000
& → ),10000
# → % → &,10000
# → % → ),10000
# → & → ),10000
% → & → ),10000
# → % → & → ),10000
