Rule,Support,Confidence
# → %,10000,1.0
# $ → %,2809,1.0
# → % &,10000,1.0
# → % & ),10000,1.0
# $ → % & ),2809,1.0
# $ → % &,2809,1.0
# → % ),10000,1.0
# $ → % ),2809,1.0
# → &,10000,1.0
# $ → &,2809,1.0
# $ % → &,2809,1.0
# % → &,10000,1.0
# → & ),10000,1.0
# $ → & ),2809,1.0
# $ % → & ),2809,1.0
# % → & ),10000,1.0
# → ),10000,1.0
# $ → ),2809,1.0
# $ % → ),2809,1.0
# $ % & → ),2809,1.0
# $ % & ( → ),2799,1.0
# $ % ( → ),2799,1.0
# $ & → ),2809,1.0
# $ & ( → ),2799,1.0
# $ ( → ),2799,1.0
# % → ),10000,1.0
# % & → ),10000,1.0
# % & ( → ),9949,1.0
# % ( → ),9949,1.0
# & → ),10000,1.0
# & ( → ),9949,1.0
# ( → ),9949,1.0
$ → %,2809,1.0
$ → % &,2809,1.0
$ → % & ),2809,1.0
$ → % ),2809,1.0
$ → &,2809,1.0
$ % → &,2809,1.0
$ → & ),2809,1.0
$ % → & ),2809,1.0
$ → ),2809,1.0
$ % → ),2809,1.0
$ % & → ),2809,1.0
$ % & ( → ),2799,1.0
$ % ( → ),2799,1.0
$ & → ),2809,1.0
$ & ( → ),2799,1.0
$ ( → ),2799,1.0
% → &,10000,1.0
% → & ),10000,1.0
% → ),10000,1.0
% & → ),10000,1.0
% & ( → ),9949,1.0
% ( → ),9949,1.0
& → ),10000,1.0
& ( → ),9949,1.0
( → ),9949,1.0
# $ → % & ( ),2799,0.996440014239943
# $ → % & (,2799,0.996440014239943
# $ → % ( ),2799,0.996440014239943
# $ → % (,2799,0.996440014239943
# $ → & ( ),2799,0.996440014239943
# $ % → & ( ),2799,0.996440014239943
# $ → & (,2799,0.996440014239943
# $ % → & (,2799,0.996440014239943
# $ → (,2799,0.996440014239943
# $ % → (,2799,0.996440014239943
# $ % & → (,2799,0.996440014239943
# $ & → (,2799,0.996440014239943
# $ → ( ),2799,0.996440014239943
# $ % → ( ),2799,0.996440014239943
# $ % & → ( ),2799,0.996440014239943
# $ & → ( ),2799,0.996440014239943
$ → % & (,2799,0.996440014239943
$ → % & ( ),2799,0.996440014239943
$ → % (,2799,0.996440014239943
$ → % ( ),2799,0.996440014239943
$ → & (,2799,0.996440014239943
$ → & ( ),2799,0.996440014239943
$ % → & ( ),2799,0.996440014239943
$ % → & (,2799,0.996440014239943
$ → (,2799,0.996440014239943
$ % → (,2799,0.996440014239943
$ % & → (,2799,0.996440014239943
$ & → (,2799,0.996440014239943
$ → ( ),2799,0.996440014239943
$ % → ( ),2799,0.996440014239943
$ % & → ( ),2799,0.996440014239943
$ & → ( ),2799,0.996440014239943
# → % & (,9949,0.9949
# → % & ( ),9949,0.9949
# → % (,9949,0.9949
# → % ( ),9949,0.9949
# → & (,9949,0.9949
# → & ( ),9949,0.9949
# % → & ( ),9949,0.9949
# % → & (,9949,0.9949
# → (,9949,0.9949
# % → (,9949,0.9949
# % & → (,9949,0.9949
# & → (,9949,0.9949
# → ( ),9949,0.9949
# % → ( ),9949,0.9949
# % & → ( ),9949,0.9949
# & → ( ),9949,0.9949
% → & (,9949,0.9949
% → & ( ),9949,0.9949
% → (,9949,0.9949
% & → (,9949,0.9949
% → ( ),9949,0.9949
% & → ( ),9949,0.9949
& → (,9949,0.9949
& → ( ),9949,0.9949
# % & ) / 0 → 1,4598,0.9864835872130444
# % & / 0 → 1,4598,0.9864835872130444
# % ) / 0 → 1,4598,0.9864835872130444
# % / 0 → 1,4598,0.9864835872130444
# & ) / 0 → 1,4598,0.9864835872130444
# & / 0 → 1,4598,0.9864835872130444
# ) / 0 → 1,4598,0.9864835872130444
# / 0 → 1,4598,0.9864835872130444
% & ) / 0 → 1,4598,0.9864835872130444
% & / 0 → 1,4598,0.9864835872130444
% ) / 0 → 1,4598,0.9864835872130444
% / 0 → 1,4598,0.9864835872130444
& ) / 0 → 1,4598,0.9864835872130444
& / 0 → 1,4598,0.9864835872130444
) / 0 → 1,4598,0.9864835872130444
/ 0 → 1,4598,0.9864835872130444
# % & ( ) / 0 → 1,4588,0.9864545259084068
# % & ( / 0 → 1,4588,0.9864545259084068
# % ( ) / 0 → 1,4588,0.9864545259084068
# % ( / 0 → 1,4588,0.9864545259084068
# & ( ) / 0 → 1,4588,0.9864545259084068
# & ( / 0 → 1,4588,0.9864545259084068
# ( ) / 0 → 1,4588,0.9864545259084068
# ( / 0 → 1,4588,0.9864545259084068
% & ( ) / 0 → 1,4588,0.9864545259084068
% & ( / 0 → 1,4588,0.9864545259084068
% ( ) / 0 → 1,4588,0.9864545259084068
% ( / 0 → 1,4588,0.9864545259084068
& ( ) / 0 → 1,4588,0.9864545259084068
& ( / 0 → 1,4588,0.9864545259084068
( ) / 0 → 1,4588,0.9864545259084068
( / 0 → 1,4588,0.9864545259084068
# $ % & ) / → 1,2081,0.9774542038515736
# $ % & / → 1,2081,0.9774542038515736
